name,general,entity_type,figure_type,occupation,personality,size,height,life,move,range,attack,defense,ability_1_title,ability_1_desc,ability_2_title,ability_2_desc,ability_3_title,ability_3_desc,ability_4_title,ability_4_desc,points,source_file
Krendal,Aquilla,Owlbear,Unique Hero,Predator,Ferocious,Large,7,6,5,1,4,3,Double Attack,"When Krendal attacks, he may attack one additional time.",Tracking,"While moving, Krendal may add 2 to his move number. If he does, he cannot attack this turn.",,,,,110,custom-krendal.png
Kola Kongi,Vydar,Primadon,Unique Hero,Soldier,Disciplined,Medium,5,5,4,1,6,4,Run 3,"Before moving Kola Kongi, you may add 3 to his Move number this turn. If you do, subtract 2 from his Attack number this turn.",Autocannons,"Before attacking, you may add 4 to Kola Kongi's Range number and subtract 2 from his Attack number for the duration of this turn. When using Autocannons, if Kola Kongi did not move this turn he may attack one additional time.",,,,,145,custom-kola-kongi.png
King of the Dead,Xenothea,Undead,Unique Hero,King,Tormented,Medium,5,6,7,1,5,4,Oath to Isildur,"You cannot take a turn with the King of the Dead unless all figures you control follow Xenothea, or if you control Aragorn while he has the Andúril Treasure Glyph.",Dreadful Aura,All opponent's Squad figures within 6 clear sight spaces of The King of the Dead subtract 1 from their Defense value and are always attacked when leaving an engagement.,Phantom Walk,The King of the Dead can move through all figures and is never attacked when leaving an engagement.,,,140,custom-king-of-the-dead.png
The Katana of Thorian,,Ancient Artifact,,,,,,,,,,,Permanent Treasure Glyph,Opponents' figures must be adjacent to this figure to attack it with a normal attack.,,,,,,,,custom-katana-of-thorian.png
Kheris Fehn,Valkrill,Icarian,Unique Hero,Slayer,Fearless,Medium,5,5,5,1,5,3,Nhah Scirh Shield 17,"If Kheris Fehn receives one or more wounds from an attack or a special power, roll the 20-sided die. If the attacking figure is a Dragon, or if the power is from a Dragon Army Card, add 3 to your die roll. If you roll 17 or higher, ignore any wounds.",Deflection,"If Kheris Fehn defends against a normal attack from an adjacent figure and receives no wounds, you may roll as many attack dice as the number of skulls rolled by the attacking figure. Each skull rolled in this way counts for an unblockable hit on the attacking figure. Kheris Fehn may use Deflection after using Nhah Scirh Shield 17.",Slayer Jump Special Attack,"Range 4. Attack 4. Choose a non-adjacent figure whose base is not higher or lower than 6 levels from the base of Kheris Fehn to attack. If the figure is destroyed, immediately place Kheris Fehn on any space the figure occupied. If the figure is not destroyed, place Kheris Fehn on any space adjacent to the chosen figure. If Kheris Fehn cannot be placed after using this special attack, destroy him.",,,110,custom-kheris-fehn.png
Knossian Brute,Aquilla,Minotaur,Common Hero,Brute,Ferocious,Large,5,1,5,1,3,5,Horn Toss,"When Knossian Brute attacks but does not destroy a small, medium, or large figure, you may Horn Toss the figure by placing it on any empty space adjacent to Knossian Brute. The space must be on the same level as or lower than Knossian Brute. A figure moved by Horn Toss never takes any disengagement attacks. Non-flying figures suffer any falling damage that may apply.",Ferocious Attack Enhancement,All friendly Hunters with a Ferocious personality which are adjacent to any Knossian Brute receive an additional attack die.,,,,,25,custom-knossian-brute.png
Krendal,Aquilla,Owlbear,Unique Hero,Predator,Ferocious,Large,7,6,5,1,4,3,Double Attack,"When Krendal attacks, he may attack one additional time.",Tracking,"While moving, Krendal may add 2 to his move number. If he does, he cannot attack this turn.",Can Turn Head Around All The Way Because It's An Owlbear And The First Part Of Owlbear Is Owl,"When determining line of sight, Krendal does not need to turn around.",,,110,custom-krendal-adapted-v2.png
Klast Vilrath,Ozirael,Cultist,Unique Hero,Cultist,Menacing,Medium,6,4,5,1,5,4,Impale 18,"Whenever Klast Vilrath inflicts a wound on an opponent's figure with a normal attack, roll the 20-sided die. Add 2 to your roll if the affected figure is a Dragon. If you roll an 18 or higher, destroy that figure.",Shadow Orb Special Attack,"Range 4 Attack 4. If Klast Vilrath inflicts a wound with Shadow Orb Special Attack, you may choose a same-level space within 6 spaces of Klast. Place Klast on the chosen space. Klast will not take any leaving engagement attacks when moving with Shadow Orb Special Attack.",Ghost Walk,Klast Vilrath can move through all figures.,,,120,custom-klast-vilrath-taf-customs.png
Kyntela Gwyn,Ullar,Elf,Unique Hero,Wizard,Valiant,Medium,4,2,5,1,2,2,Strength of Oak Aura 1,All friendly Elves adjacent to this unit add 1 to their defense dice.,Evasive 1,"When Kyntela Gwyn rolls defense dice against an attacking figure who is not adjacent, add 1 defense die to the defense roll.",,,,,20,custom-kyntela-gwyn-cua.png
Kredo The Rigid,Luselene,Human,Unique Hero,Captain,Disciplined,Medium,5,5,6,1,4,3,Orderly March,All figures you control may move one additional space as long as they end their movement adjacent to Kredo The Rigid,Strict Conduct Aura,All figures within 6 clear sight spaces of Kredo The Rigid can only move or attack if they revealed an Order Marker on their Army Card this turn,Set Orders,Order Markers can never be removed from this Army Card by any special powers on an Army Card or Glyph.,,,80,custom-kredo-the-rigid-taf-customs.png
King Bumi,White Lotus,Human,Unique Hero,Bender,Crazy,Medium,5,5,5,4,4,5,Mad Genius,"After revealing an Order Marker on a figure within five clear sight spaces of King Bumi, instead of taking a turn with the figure or figures on that card, you may take a turn with King Bumi.",Wait for the Right Moment,"Once per game, before an opponent reveals an Order Marker you may reveal an X OM on this card and take an immediate turn with King Bumi. During this turn, King Bumi may attack any and all figures adjacent to him and adds one automatic skull to whatever is rolled.",Earth Master,"If King Bumi is on a land space add 1 to his Attack and Defense values. If King Bumi inflicts one or more wounds on a non-Flying figure on a land space, you may move that figure up to two spaces as long as it remains on a land space.",Elemental Defense,"When King Bumi is attacked by an opponent's figure that does not have the Elemental Defense special power, the most wounds King Bumi can take from this attack is one.",220,custom-king-bumi.png
Lady Morwen,Ullar,Kyrie,Unique Hero,Lady,Graceful,Medium,5,6,6,1,3,3,Aura of Speed,All figures you control that start their turn within 4 clear sight spaces of Lady Morwen may move 1 additional space. Lady Morwen's Speed Aura does not affect Lady Morwen.,Evasive 1,"When Lady Morwen rolls defense dice against an attacking figure who is not adjacent, add 1 to her defense dice.",Flying,,,,80,custom-lady-morwen-swc.png
Kommandant Acht Beine,Utgar,Arachnid,Unique Hero,,,Large,6,8,8,1,6,3,Web Trap,"Kommandant Acht Beine starts the game with 3 white Web markers on this Army Card. After moving and before attacking, you may place a Web marker on a same level space adjacent to Kommandant Acht Beine. Whenever a non-Arachnid small or medium figure moves onto a space with a Web marker on it or onto a space adjacent to a space with a Web marker on it, they must end their movement there. Non-Arachnid figures cannot move through figures affected by a Web Trap. Figures standing on a space with a Web marker on it may roll the 20-sided die instead of attacking. If they roll a 9 or higher, they may remove that Web marker from the battlefield. When attacking a figure affected by Web Trap, all Arachnids you control roll one additional attack die.",,,,,,,200,custom-kommandant-acht-beine-taf-customs.png
Kusmok,Utgar,Ogre,Unique Hero,Shaman,Inspiring,Large,6,5,5,1,4,4,Lightning Blast Special Attack,"Range 5. Attack 3. If Kusmok does not roll at least one skull for his Lightning Blast Special Attack, then he receives one wound.",Bellow,"When you roll attack dice for any Ogre that you control and is within 5 clear sight spaces of Kusmok, you may re-roll all attack dice that did not show skulls. Bellow can be used only once for each attack roll. Kusmok's Bellow does not affect Kusmok.",,,,,120,custom-kusmok.png
Kraal Drone,Aquilla,Insect,Common Hero,Drones,Loyal,Medium,4,1,7,1,2,3,Locust Swarm,"Before moving a Kraal Drone, roll the 20-sided die. If you roll 1-5, you may take a turn with up to 1 Kraal Drone you control. If you roll 6-11, you may take a turn with up to 3 Kraal Drones you control. If you roll 12-15, you may take a turn with up to 6 Kraal Drones you control. If you roll 16-19, you may take a turn with up to 9 Kraal Drones you control. If you roll a 20, you may take a turn with all Kraal Drones you control.",Flying,"When counting spaces for the Kraal Drone's movement, ignore elevations. The Kraal Drone may fly over water without stopping, pass over figures without becoming engaged, and fly over obstacles such as ruins. When the Kraal Drone starts to fly, if it is engaged it will take any leaving engagement attacks.",,,,,25,custom-kraal-drone.png
Landarian Sky Guard,Jandar,Landarian,Unique Squad,Archers,Valiant,Medium,5,1,5,7,2,3,Landarian Champion Bonding,"Before taking a turn with the Sky Guard, you may first take a turn with any Landarian Champion you control.",Watch the Skies,"When a member of the Sky Guard attacks a figure that's base is 6 or more levels higher than theirs, add 2 dice to the attack.",,,,,80,custom-landarians-sky-guard-by-truth.png
Hawthorne Lancers,Utgar,Human,Unique Squad,Knights,Arrogant,Large,6,1,7,1,3,4,Human Knight and Human Lord Bonding,"Before taking a turn with Hawthorne Lancers, you may first take a turn with any Human Knight or Human Lord you control.",Galloping Charge,A Hawthorne Lancer receives 2 additional attack dice when attacking any figure that was at least 4 clear sight spaces away from that Hawthorne Lancer at the start of his turn.,Refuse Orders,"Before taking a turn with Hawthorne Lancers, roll the 20-sided die. If you roll a 19 or higher, Hawthorne Lancers cannot move or attack this turn.",,,70,custom-lancers.png
Kordenian Archers,Ullar,Elf,Common Squad,Archer,Disciplined,Medium,,,5,6,2,2,,,,,,,,,,custom-kordenian-archers-back-view.png
Elentar the Cloud Champion,Jandar,Landarian,Unique Hero,Champion,Valiant,Huge,12,5,7,1,4,5,Talon Grab,"When Elentar starts to fly he may take with him one small or medium adjacent figure. That figure may be placed adjacent to Elentar at the end of his movement, or dropped onto any space Elentar moves over. Dropped figures must roll for falling damage as if they were dropped from a height of 7.",Landarian Enhancement,All friendly Landarians adjacent to Elentar roll an additional attack die and an additional defense die.,Flying,"When counting spaces for Elentar's movement, ignore elevations. Elentar may fly over water without stopping, pass over figures without becoming engaged, and fly over obstacles such as ruins.",,,110,custom-landarians-elentar-by-truth.png
"Lacex, The Great Blue Spider",Aquilla,Arachnid,Unique Hero,Guardian,Fearsome,Large,5,6,6,1,3,3,Spider Webs,"At the start of the game, place 5 black markers on this Army Card. Before attacking, roll the 20-sided die. If you roll 12 or higher place a black marker on that figure army card. Figures with the black marker will defend with one less dice.",Nature Advantage,"When adjacent to an evergreen piece or a jungle piece, add 1 more dice to Lacex, The Great Blue Spider defense dices.",,,,,100,custom-lacex-the-great-blue-spider.png
Lion Guards,Jandar,Human,Common Squad,Guards,Loyal,Medium,5,1,4,1,3,3,Captain Bonding,"Before taking a turn with Lion Guards, you may first take a turn with a medium resolute Hero you control.",Melee Defense 1,"When rolling defense dice against a normal attack from an adjacent figure, a Lion Guard adds 1 to his defense dice.",,,,,50,custom-lion-guards.png
LENSONAR,Utgar,Drow,Unique Hero,Blademaster,Confident,Medium,5,5,6,1,4,4,SABER STORM SPECIAL ATTACK,"Range 1. Attack 1, 2, or 3. Lensonar starts each turn with 6 attack dice. Choose any figure within range and attack by rolling 1, 2, or 3 attack dice until he has rolled all 6 attack dice. He may target the same or different figures with each attack.",DUELIST AGILITY,"If Lensonar is engaged with a single opponent's figure, when Lensonar rolls defense dice against a normal attack from an adjacent figure, one shield will block all damage.",,,,,110,custom-lensonar-the-drow-blademaster.png
Link,,Hylian,Unique Hero,Hero of Time,Valiant,Medium,5,5,6,1,3,4,Triforce Of Courage,"On Link's turn, after moving, and before attacking, Link may roll the 20-Sided die. If Link rolls a 12 or higher, add 1 die to Link's attack that turn.",Light Arrow Special Attack,"Range 7. Attack 3. If Link's Light Arrow Special Attack inflicts a wound, he may attack again with Light Arrow Special Attack. Link may continue to attack with Light Arrow Special Attack until he does not inflict a wound.",,,,,170,custom-link-from-legend-of-zelda.png
Laureena,Jandar,Human,Unique Hero,Paladin,Fearless,Medium,5,5,5,1,5,4,Sword of Llyr,"When rolling defense dice against a special attack, Laureena rolls 2 additional defense dice. When selected as targets for a special power that involves the 20-sided die Laureena may choose to reduce the number rolled on the 20-sided die by 2.",Counter Strike,"When rolling defense dice against a normal attack from an adjacent attacking figure, all excess shields count as unblockable hits on the attacking figure.",Lay on Hands,"After moving and before attacking with Laureena, you may choose a wounded friendly Hero figure adjacent to Laureena and roll the 20-sided die. If you roll a 6 or higher, remove 1 Wound Marker from the chosen figure's Army Card.",,,150,custom-laureena.png
Lion Bannermen,Jandar,Human,Unique Squad,Guards,Inspiring,Medium,5,1,5,1,3,2,Attack Aura 1,All friendly figures adjacent to Finn with a range of 1 add 1 die to their normal attack.,Jandar's Dispatch,"After you take a turn with the Lion Bannermen, roll 12 Jandar Valkyrie dice. You may move up to 4 other Squad figures you control who follow Jandar up to X spaces. X equals the number of Jandar symbols rolled. Any Squad figures moved with Jandar's Dispatch must be within 8 clear sight spaces of the Lion Bannermen prior to moving.",,,,,40,custom-lion-bannermen.png
Lórien Elf Guards,,Elves,Unique Squad,Guards,,Medium,5,1,5,6,3,3,Charging Assault,Any or all Lórien Elf Guards may add 3 to their move number as long as they are unengaged prior to moving. A Lórien Elf Guard must end its move adjacent to an opponent's figure in order to use Charging Assault.,Counter Strike,"When rolling defense dice against a normal attack from an adjacent attacking figure, all excess shields count as unblockable hits on the attacking figure.",,,,,100,custom-lorien-elf-guards.png
Leorio,,Human,Unique Hero,Hunter/Doctor,Determined,Medium,5,4,5,1,3,4,Nen Punch (Teleporting Strike),"Once per round, instead of attacking and after moving, choose any opponent within 6 clear sight spaces. Leorio's arm teleports and punches the opponent for 1 unblockable attack die. If a skull is rolled, that figure takes 1 wound.",Doctor's Code,"After taking a turn with Leorio, you may choose 1 friendly adjacent figure. Roll the 20-sided die: 1–7: No effect 8–15: Remove 1 wound 16–20: Remove 2 wounds",Negotiator's Presence,All friendly H x H figures within 3 spaces of Leorio add +1 to defense dice while he is alive on the battlefield.,,,200,custom-leorio-200pts-png.png
"Lurtz, Uruk Captain",,Uruk-hai,Unique Hero,Champion,Perfected,Medium,5,5,5,5,4,3,Overextend Attack,"After taking a turn with Lurtz, you may place a wound marker on Lurtz and take another turn with him. You may only use this power once per round.",,,,,,,100,custom-lurtz.png
Leopold Van Nessing,Aquilla,Hybrid,Unique Hero,Investigator,Tormented,Medium,4,5,5,5,2,4,A Stark and Hideous Madness,"Before taking a turn with Leopold Van Nessing, you must roll the 20-sided die. If you roll a 1-5, you must either end his turn immediately, or place 1 wound marker on this card at the end of his turn. During that turn, add 1 to his Move and Attack.",Sword of the Elehoni,"When attacking an adjacent figure, Leopold Van Nessing rolls 2 additional attack dice. If that figure is a Demon, Horror, or Undead, it rolls 2 fewer defense dice.",The Relic of Sthigyug-Zor,"When the 20-sided die is rolled for a special power on an opponent's Undead or Demon Army Card and at least one of the figures from that Army Card is within 3 clear sight spaces of Leopold Van Nessing, subtract 3 from the die roll.",,,95,custom-leopold-van-nessing.png
Lord Revadac,Valkrill,Undead,Unique Hero,Lord,Tormented,Medium,5,6,5,1,4,3,Curse of Pestilence,"When Lord Revadac receives one or more wounds from an adjacent figure's normal attack, roll the 20-sided die. If you roll an 11 or higher, the attacking figure receives one wound. Curse of Pestilence does not affect Undead, Construct, or Soulborg figures.",Ruthless Leader,"After moving and before attacking with Lord Revadac, you may choose an Undead Squad figure you control adjacent to Lord Revadac. Destroy the chosen figure and remove one wound marker from this card.",Undead Attack Enhancement,All friendly Undead figures adjacent to Lord Revadac roll an additional attack die when making a normal attack.,,,110,custom-lord-revadac-version-3.png
Longshot,,Mutant,Unique Hero,Adventurer,Lucky,Medium,4,4,5,3,4,4,Double Attack,"When Longshot attacks, he may attack one additional time.",Probability Manipulation Aura,"When you roll dice for Longshot or any friendly figure you control within 4 clear sight spaces of Longshot, you may re-roll all dice one time once for this turn.",Reversal of Fortune,"Begin the game with this side of this army card facing up. When rolling attack or defense dice with Longshot, if you rolled no skulls for an attack or no shields when defending, flip this Army Card over and use that side. Do not reroll dice. Any Order Markers or Wound Markers on this Army Card are switched over to the new side.",,,130,custom-longshot-by-velenne.png
Leopold Fitz,Einar,Human,Unique Hero,Agent,Loyal,Medium,4,3,5,4,2,3,Fitz-Simmons,"Before taking a turn with Leopold Fitz, you may take a turn with Jemma Simmons, if you control her. If Simmons would receive any wounds from a normal attack and Fitz is adjacent to her, you may place all those wounds on this card instead.",Night-Night Gun,"If Fitz would inflict any wounds with a normal attack on an opponent's figure, you must instead lay that figure on its side. That figure may not move, attack, or make leaving engagement attacks. A figure is no longer affected by Night-Night Gun when an X Order Marker is revealed on its Army Card.",Improvised Gadget,"At the beginning of the round, before rolling for initiative, you may place a combat die on the Army Card of an adjacent Human, Cyborg, or Soulborg hero you control. If the die shows a skull, add 1 to its Attack. If it shows a shield, add 1 to its Defense. If it shows a blank, add 1 to its Move. Remove the die at the end of the round.",,,50,custom-leopold-fitz.png
Lizard,Vydar,Lizardfolk,Unique Hero,Creature,Fearsome,Medium,5,5,6,1,5,4,Regenerate,"After taking a turn with Lizard, remove one Wound Marker from Lizard's Army Card.",Tail Strike 15,"After moving and before attacking, you may choose any small or medium figure adjacent to Lizard. Roll the 20-sided die. If you roll a 15 or higher, the chosen figure receives one wound.",Leap,"Instead of a normal move, Lizard may Leap. Leap has a move of 3. When counting spaces for Lizard's Leap movement, ignore elevations. Lizard may leap over water without stopping, leap over figures without becoming engaged, and leap over obstacles such as ruins. Lizard may not leap more than 25 levels up or down in a single Leap. If Lizard is engaged when he starts to leap, he will take any leaving engagement attacks.",,,200,custom-lizard-sd.png
M.O.D.O.K.,,Clone,Unique Hero,Mastermind,Analytical,Medium,6,5,5,6,4,5,MENTAL ORGANISM,Add 1 to M.O.D.O.K.'s Defense for each unrevealed Order Marker on this card.,DESIGNED ONLY FOR KILLING,"Before attacking, do the following once for each revealed Order Marker on this card. Choose an enemy figure within 4 clear sight spaces and roll the d20. If you roll 13+, the chosen figure receives one wound.",,,,,230,custom-m-o-d-o-k.png
Macetail Behemoth,Einar,Reptile,Uncommon Hero,Behemoth,Dauntless,Large,5,6,4,1,3,7,Tail Club,"When attacking small or medium figures, this Macetail Behemoth rolls 2 additional attack dice.",Tough Hide,"When rolling defense dice against a special attack, this Macetail Behemoth always adds one automatic shield to whatever is rolled.",,,,,120,custom-macetail-behemoth.png
Loviatak the Kyrie Warrior,Utgar,Kyrie,Unique Hero,Warrior,Relentless,Medium,5,4,5,1,2,3,Brutality Aura,"When a Squad figure you control within 4 clear sight spaces of Loviatak the Kyrie Warrior attacks an adjacent figure with a normal attack, before defense dice are rolled, you may re-roll all attack dice that did not show skulls. Brutality Aura may only be used once per turn.",Deadly Strike,"When attacking with Loviatak, all skulls rolled count for one additional hit.",Dynastic Leadership,"If you control Loviatak and aanother Unique Kyrie Hero who follows Utgar, figures you control who follow Utgar increase their Move Value by 1.",Flying,,80,custom-loviatak-the-kyrie-warrior-classic.png
Lorwen,Ullar,Elf,Unique Hero,Wizard,Tricky,Medium,5,4,5,5,2,2,Crushing Wave Special Attack,"Range 1. Attack 5. If Lorwen does not inflict a wound on a small or medium targeted figure, you may place it on any empty space within 2 clear sight spaces of its current location. The space must be on the same level as or lower than its current location. A figure moved by Crushing Wave never takes any leaving engagement attack. A non-flying figure moved lower by Crushing Wave can receive any falling damage that may apply.",Healing Waters 17,"When taking a turn with another elf hero within 3 clear sight spaces, you may roll the 20-sided die. If it is a Wizard, add 2 to your roll, and if it is an Archmage add 4. If you roll a 17 or higher you may remove one wound marker from that figure.",,,,,50,custom-lorwen.png
Lysander Dread,Valkrill,Undead,Unique Hero,Juggernaut,Relentless,Medium,4,3,4,1,4,5,Rejected by Death,"At the start of each of your turns after Lysander Dread has been destroyed, roll the 20-sided die. If you roll a 19 or higher, immediately place Lysander Dread on a space adjacent to any figure you control and remove all Wound Markers on Lysander Dread's card.",Cursed Sword Special Attack,Range 1. Attack 1. Choose an adjacent figure to attack. The chosen figure cannot roll defense dice when attacked by Lysander Dread's Cursed Sword Special Attack.,,,,,110,custom-lysander-dread.png
Loviatäk the Kyrie Warrior,Utgar,Kyrie,Unique Hero,Warrior,Relentless,Medium,5,4,5,1,2,3,Brutality Aura,"When a Squad figure you control within 4 clear sight spaces of Loviatäk the Kyrie Warrior attacks an adjacent figure with a normal attack, before defense dice are rolled you may re-roll all attack dice that did not show skulls. Brutality Aura may only be used once per turn.",Deadly Strike,"When attacking with Loviatäk, all skulls rolled count for one additional hit.",Dynastic Leadership,"If you control Loviatäk and another Unique Kyrie Hero who follows Utgar, figures you control who follow Utgar move one additional space.",Flying,,80,custom-loviatak-the-kyrie-warrior.png
MADORI,Xenothea,Human,Unique Hero,Ninja,Tricky,Medium,5,4,6,1,3,4,BLADE OF NEGATION,"Madori starts the game with 3 brown Negation markers on her Army Card. Whenever Madori wounds a Unique figure, place a Negation marker on that figure's Army Card. All of that figure's special powers are negated for the entire game.",PHANTOM WALK,Madori may move through all figures and is never attacked when leaving an engagement.,,,,,100,custom-madori-taf-custms.png
,,,,,,,,,,,,,,,,,,,,,,custom-lyapina-nikitovna-back-view.png
,,,,,,,,,,,,,Base Stats,Use 3 experience points to improve a base stat.,Talents,Use 3 experience points to learn a new talent. Talents can be learned in any order.,Skills,"Use 3 experience points to learn a new skill or to level up a new skill. Skills must be learned in order. Skills lower on the tree can not be a higher level then any of the previous skills. The skill tree has two halves, so a player may progress one side of the tree before continuing onto the other.",,,,custom-level-scape-blank-character-sheet.png
Magis Sisters,Valkrill,Human,Unique Squad,Wizards,Tormenting,Medium,5,1,5,1,3,3,Firewall Special Attack,"Range 5. Attack Special. Instead of attacking normally, both Magis Sisters may combine their attacks for Firewall Special Attack. Choose a target that both Magis Sisters have a clear line of sight to. Figures in a straight line between a Magis Sister and the choosen figure are also affected by Firewall Special Attack. Roll 4 attack dice against the choosen figure and roll 2 attack dice against the other affected figues. Defending figures roll defense dice separately. Firewall Special Attack cannot be used if one Magis Sister is in a straight line between the choosen figure and the other Magis Sister.",Arcane Riposte,"When a Magis Sister rolls defense dice against a normal attack, all excess shields count as unblockable hits on the attacking figure.",,,,,100,custom-magis-sisters.png
M/AI M-R,Einar,Soulborg,Unique Hero,Soldier,Disciplined,Medium,5,3,5,1,4,6,DOUBLE ATTACK,"When M/AI M-R attacks, he may attack one additional time.",OVERRUN,"Each time M/AI M-R destroys a small or medium figure on the same level as M/AI M-R, you may immediately place M/AI M-R on the space the figure occupied. If M/AI M-R is engaged when he uses Overrun, he will not take any leaving engagement attacks.",PRIMITIVE PROGRAMMING,M/AI M-R rolls 2 less defense die when defending against a special attack.,,,90,custom-maim.png
Maredian Commando,Aquilla,Maredian,Common Hero,Fighter,Tricky,Medium,5,1,5,6,3,3,Brothers in Arms,"After revealing an order marker on a Maredian Commando card, before taking a turn with that Maredian Commando, you may take a turn with one other Maredian Commando you control.",,,,,,,30,custom-maredian-commando.png
Magma Guards,Utgar,Moltarn,Common Squad,Guards,Dauntless,Large,6,1,3,3,2,4,Molten Fists,A Magma Guard always adds 1 skull to whatever is rolled when attacking an adjacent figure.,Magma Tunnel 10,"If a Magma Guard occupies a molten lava or lava field space at the beginning of its turn, instead of moving normally, it may instantly move to any other molten lava or lava field hex within 10 spaces. A Magma Guard does not need clear sight to its destination hex when using Magma Tunnel to move. A Magma Guard moved with Magma Tunnel 10 still takes any disengagement attacks.",Lava Resistant,Magma Guards never roll for molten lava damage or lava field damage and they do not have to stop on molten lava spaces.,,,90,custom-magma-guards.png
Major X17,Vydar,Soulborg,Unique Hero,Major,Disciplined,Medium,5,5,5,1,4,5,Improved Cyberclaw,"All small, medium, or large opponent's figures that enter or occupy a space adjacent to Major X17 may not move. Figures affected by the Cyberclaw cannot be moved by any special power on an Army Card or Glyph.",Melee Defense 2,"When rolling defense dice against a normal attack from an adjacent attacking figure, Major X17 adds 2 defense dice.",,,,,100,custom-major-x17-competititive-mod.png
Maltis Tez,Aquilla,Hybrid,Unique Hero,Scout,Fearless,Medium,5,3,7,1,2,3,First Assault 2,"When attacking with Maltis Tez, if the defending figure was not adjacent to Maltis Tez at the start of this turn, Maltis Tez receives 2 additional attack dice.",Strategic Repositioning,"After taking a turn with Maltis Tez, if Maltis Tez attacked an opponent's figure this turn, you may move Maltis Tez up to 1 space. This space may be up to 5 levels higher or lower. Maltis Tez never takes leaving engagement attacks while using Strategic Repositioning.",,,,,35,custom-maltis-tez-master-side.png
Mariedian Guard,Vydar,Human,Common Hero,Guard,Resolute,Medium,4,1,5,1,3,2,Charged Strike Special Attack,Range 1. Attack 4. The Charged Strike Special Attack may only be used against soulborgs.,Mariedian Resolve,"When rolling defense dice against a normal or special attack, Mariedian Guard always adds 1 automatic shield to whatever is rolled.",,,,,25,custom-mariedians.png
Magneto,,Mutant,Unique Hero,Outcast,Ruthless,Medium,5,5,5,6,5,7,Mutant Recruitment,"At the start of the game, change the class of one Unique Mutant Hero Army Card you control to Outcast.",Master of Magnetism 11,"Before attacking, choose a figure or Destructible Object within 4 clear sight spaces. If you chose a figure, roll the d20. If you roll 11 or higher, you may place the chosen figure on an empty space within 4 clear sight spaces of its original space and 4 clear sight spaces of Magneto. After moving a figure that was not a Mutant Outcast you control or if you chose a Destructible Object, roll the d20 for crushing damage. If you roll 11 or higher, the chosen figure or Destructible Object receives 2 wounds. Add 2 to your rolls for Robots and Destructible Objects.",Mental Shield,Opponents may never take temporary or permanent control of Magneto.,,,290,custom-magneto.png
Major Q1,Vydar,Soulborg,Unique Hero,Major,Dauntless,Medium,4,3,5,7,3,4,Queglix Gun Prototype Special Attack,Range 6. Attack 1 or 2. Major Q1 starts each turn with 6 attack dice. Choose any figure within range and attack by rolling 1 or 2 attack dice. Major Q1 may keep making special attacks with 1 or 2 attack dice until he has rolled all 6 attack dice. Major Q1 may target the same or different figures with each attack.,Cyberclaw,All small or medium opponent's figures that enter or occupy a space adjacent to Major Q1 may not move. Figures affected by Cyberclaw cannot be moved by any special power on any Army Card or Glyph.,,,,,95,custom-major-q1-full-size-card.png
Marro Quills,Utgar,Marro,Unique Squad,Hunters,Terrifying,Medium,4,1,6,1,4,3,Poison Blades,"When attacking with Marro Quills, all wounds inflicted count for one additional wound.",Venomous Embrace,"If a Marro Quill is attacked by an adjacent small or medium figure, roll the 20-sided die. If you roll a 1-10, roll defense dice normally. If you roll an 11 or higher, the attacking figure receives one wound. If the figure was destroyed, the Marro Quill takes no damage from the figure's attack.",,,,,130,custom-marro-quills.png
Marro Sentries,Utgar,Marro,Common Squad,Sentries,Wild,Medium,4,1,4,1,3,5,Provoked Rage,"When taking a turn with Marro Sentries, if a friendly Marro Hive received at least one wound last turn, add 2 to the Move and Attack Value on this card this turn.",Onslaught,Figures adjacent to Marro Sentries cannot attack adjacent Marro Heroes with a Normal or Special attack.,,,,,40,custom-marro-sentries-taf-customs.png
Gollum,Utgar,Stoor,Unique Hero,Ringbearer,Tricky,Small,3,5,5,1,2,3,Smeagol,"After revealing an order marker on this card, you must roll the 20-sided die. If you roll a 16 or higher, choose an opponent. That opponent will now control Gollum for the remainder of your turn, but will not be able to view any unrevealed order markers on this card. At the end of that turn, control of Gollum returns to you. All order markers and figures that were on Gollum's Army Card will stay on his Army Card.",Phantom Walk,Gollum can move through all figures and is never attacked when leaving an Engagement.,Tricksy,"If Gollum attacks a figure that does not have any order markers on it's army card (revealed or unrevealed), before rolling attack dice roll the 20-sided die. If you roll a 14 or higher the targeted figure cannot roll any defense dice.",,,40,custom-lord-of-the-rings-gollum.png
Marro Reaver,Utgar,Marro,Uncommon Hero,Savage,Ferocious,Medium,4,4,5,1,3,3,Feral Instinct,"If there are 2 or more wounds on this Army Card, add 1 to this Marro Reaver's Move and Attack values.",Savage Assault,"After you take a turn with this Marro Reaver, if this Marro Reaver inflicted at least one wound during that turn, you may roll the 20-sided die. If this Marro Reaver is engaged, add 5 to your die roll. If you roll a 15 or higher, you may take another turn with any Marro Savage you control, during which the chosen figure may only attack.",,,,,75,custom-marro-reaver-swc.png
Marro Bloodhound,Utgar,Marro,Unique Hero,Guard,Loyal,Small,3,3,6,1,1,2,Hound of Lords,Whenever a unique marro figure you control is wounded you may immediatly take a turn with Marro Bloodhound.,Distracting Toxic Stench,While engaged with Marro Bloodhound opposing figures roll 2 less defense dice than normal.,A Cowards Reward,Marro Bloodhound rolls one additional die against figures leaving engagement with it.,Tough,When rolling defense dice against a normal attack add one automatic sheild to whatever is rolled.,35,custom-marro-bloodhound.png
